1,0,0,0
2,1,0,0
3,1,1,0
4,1,1,1
5,2,1,1
6,2,2,1
7,2,2,2
8,3,2,2
9,3,3,2
10,3,3,3
11,4,3,3
12,4,4,3
13,4,4,4
14,5,4,4
15,5,5,4
16,5,5,5
17,6,5,5
18,6,6,5
19,6,6,6
20,7,6,6
21,7,7,6
22,7,7,7
23,8,7,7
24,8,8,7
25,8,8,8
26,9,8,8
27,9,9,8
28,9,9,9
29,10,9,9
30,10,10,9
31,10,10,10
32,11,10,10
33,11,11,10
34,11,11,11
35,12,11,11
36,12,12,11
37,12,12,12
38,13,12,12
39,13,13,12
40,13,13,13
41,14,13,13
42,14,14,13
43,14,14,14
44,15,14,14
45,15,15,14
46,15,15,15
47,16,15,15
48,16,16,15
49,16,16,16
50,17,16,16
51,17,17,16
52,17,17,17
53,18,17,17
54,18,18,17
55,18,18,18
56,19,18,18
57,19,19,18
58,19,19,19
59,20,19,19
60,20,20,19
61,20,20,20
62,21,20,20
63,21,21,20
64,21,21,21
65,22,21,21
66,22,22,21
67,22,22,22
68,23,22,22
69,23,23,22
70,23,23,23
71,24,23,23
72,24,24,23
73,24,24,24
74,25,24,24
75,25,25,24
76,25,25,25
77,26,25,25
78,26,26,25
79,26,26,26
80,27,26,26
81,27,27,26
82,27,27,27
83,28,27,27
84,28,28,27
85,28,28,28
86,29,28,28
87,29,29,28
88,29,29,29
89,30,29,29
90,30,30,29
91,30,30,30
92,31,30,30
93,31,31,30
94,31,31,31
95,32,31,31
96,32,32,31
97,32,32,32
98,33,32,32
99,33,33,32
100,33,33,33
